event,variable,year,entropy
magazine_covers,hair,2012,2.588298
magazine_covers,hair,2013,2.633617
magazine_covers,hair,2014,2.467517
magazine_covers,hair,2015,2.554595
magazine_covers,hair,2016,2.521862
magazine_covers,hair,2017,2.573037
magazine_covers,hair,2018,2.587263
magazine_covers,hair,2019,2.647331
magazine_covers,hair,2020,2.643533
magazine_covers,hair,2021,2.703335
magazine_covers,hair,2022,2.708838
magazine_covers,hair,2023,2.744042
magazine_covers,hair,2024,2.687744
magazine_covers,height,2000,2.455732
magazine_covers,height,2001,2.432693
magazine_covers,height,2002,2.469750
magazine_covers,height,2003,2.438680
magazine_covers,height,2004,2.444602
magazine_covers,height,2005,2.508751
magazine_covers,height,2006,2.471179
magazine_covers,height,2007,2.450735
magazine_covers,height,2008,2.405611
magazine_covers,height,2009,2.402745
magazine_covers,height,2010,2.401966
magazine_covers,height,2011,2.384854
magazine_covers,height,2012,2.388204
magazine_covers,height,2013,2.389134
magazine_covers,height,2014,2.331951
magazine_covers,height,2015,2.339496
magazine_covers,height,2016,2.312243
magazine_covers,height,2017,2.382054
magazine_covers,height,2018,2.422968
magazine_covers,height,2019,2.422252
magazine_covers,height,2020,2.450343
magazine_covers,height,2021,2.570897
magazine_covers,height,2022,2.722809
magazine_covers,height,2023,2.479931
magazine_covers,height,2024,2.441585
magazine_covers,hips,2000,2.210353
magazine_covers,hips,2001,2.163795
magazine_covers,hips,2002,2.139134
magazine_covers,hips,2003,2.157777
magazine_covers,hips,2004,2.286611
magazine_covers,hips,2005,2.319488
magazine_covers,hips,2006,2.310621
magazine_covers,hips,2007,2.286725
magazine_covers,hips,2008,2.247166
magazine_covers,hips,2009,2.198545
magazine_covers,hips,2010,2.481057
magazine_covers,hips,2011,2.360149
