name,prestige_raw,prestige_scaled,instagram_followers,appearance_count,prestige_percentile,rfm,gender
model_07268,0.000732,732.091425,,319,96.279014,16.0,female
model_01308,0.000731,731.345426,8600.0,430,96.26705,17.639344,female
model_06243,0.000717,717.222284,,229,96.255085,14.62069,female
model_03147,0.000716,715.638986,,413,96.24312,16.0,female
model_04047,0.000715,714.506242,17900.0,344,96.231156,15.65812,female
model_06303,0.000712,711.73249,58200.0,386,96.219191,15.315789,male
model_05305,0.00071,709.810337,,338,96.207227,20.615385,female
model_09829,0.000709,709.218287,53900.0,328,96.195262,13.931034,female
model_08304,0.000709,708.851392,8100000.0,319,96.183297,16.333333,female
model_00280,0.000707,707.149024,,503,96.171333,18.295082,female
model_00752,0.000706,706.029053,,416,96.159368,15.145299,female
model_05429,0.000701,701.252766,3200000.0,724,96.147404,16.0,female
model_03058,0.000698,698.472391,26000.0,333,96.135439,16.666667,female
model_07079,0.000691,690.723922,46900.0,399,96.123475,17.967213,female
model_06574,0.000688,687.760077,,530,96.11151,4.666667,male
model_01833,0.000685,684.533844,,266,96.099545,16.983607,female
model_03617,0.000681,680.654454,,321,96.087581,16.983607,female
model_02126,0.000677,677.460729,8199999.0,394,96.075616,25.428571,female
model_00070,0.000675,674.966925,11600.0,285,96.063652,13.435897,female
model_03926,0.000674,674.363238,,339,96.051687,14.596491,female
model_01442,0.000672,672.474622,,444,96.039722,18.580645,female
model_07069,0.000672,672.017138,,441,96.027758,16.983607,female
model_01042,0.00067,670.10441,,395,96.015793,17.0,female
model_01921,0.000667,667.478115,4700.0,236,96.003829,16.983607,female
model_06331,0.000663,662.872939,11800.0,325,95.991864,16.840336,female
model_05836,0.000658,658.136435,,341,95.979899,18.295082,female
model_08557,0.000656,656.360103,8400000.0,559,95.967935,15.655172,female
model_04625,0.000655,655.133523,125000.0,254,95.95597,,unknown
model_09568,0.000653,653.236582,,502,95.944006,17.967213,female
model_08974,0.000652,651.936058,,356,95.932041,17.311475,female
model_02660,0.000649,649.294413,292300.0,289,95.920077,16.677966,female
model_01474,0.000649,648.746177,18100.0,271,95.908112,16.0,female
model_02193,0.000649,648.728859,,476,95.896147,17.82716,male
model_04933,0.000649,648.54852,,343,95.884183,15.666667,female
model_00200,0.000647,647.039568,60500.0,210,95.872218,2.596491,male
model_02927,0.000647,646.527156,,350,95.860254,16.983607,female
model_03679,0.000646,645.802073,,338,95.848289,20.193548,female
model_05761,0.000643,642.573712,,266,95.836324,16.338983,female
model_05325,0.00064,639.638516,194600.0,194,95.82436,17.639344,female
model_05996,0.00064,639.589049,,276,95.812395,18.295082,female
model_03919,0.000639,639.402588,,392,95.800431,18.295082,female
model_03529,0.000639,638.527194,,382,95.788466,16.983607,female
model_00582,0.000638,637.82684,17900.0,245,95.776502,4.983607,male
model_08038,0.000638,637.510387,457300.0,210,95.764537,31.555556,female
model_04514,0.000637,636.674162,,378,95.752572,15.145299,female
model_08029,0.000636,636.039976,,289,95.740608,18.622951,female
model_00507,0.000634,634.238103,2000000.0,355,95.728643,11.777778,male
model_06328,0.000633,633.169169,,407,95.716679,19.75,female
model_06323,0.000632,631.715319,,388,95.704714,14.983051,female
model_05313,0.000631,630.888921,,286,95.692749,15.661017,female
model_02969,0.000631,630.881813,,324,95.680785,15.661017,female
model_00547,0.000629,629.488466,17400.0,330,95.66882,14.62069,female
model_05654,0.000629,628.841066,243300.0,405,95.656856,12.493151,male
model_04009,0.000628,628.335695,99500.0,204,95.644891,16.983607,female
model_05186,0.000628,628.260047,,279,95.632927,2.275862,male
model_00345,0.000626,626.306982,,218,95.620962,16.666667,female
model_01202,0.000625,625.461453,,318,95.608997,17.935484,female
model_01943,0.000625,625.384548,65099.0,439,95.597033,22.865672,female
model_02543,0.000614,614.138377,,114,95.585068,19.589744,female
model_03733,0.000613,612.886978,,319,95.573104,20.251969,female
model_08816,0.000612,611.616023,16400.0,399,95.561139,,unknown
model_00938,0.000611,611.347789,100700.0,382,95.549174,17.639344,female
model_06682,0.000608,607.985566,12000.0,157,95.53721,20.126984,female
model_06306,0.000604,604.266074,,234,95.525245,13.894737,female
model_08542,0.000604,603.580393,25100.0,218,95.513281,14.62069,female
model_00514,0.000603,603.21704,,368,95.501316,28.631579,female
model_07018,0.000602,601.57019,,237,95.489352,16.983607,female
model_07799,0.000596,595.824953,,397,95.477387,14.275862,female
model_04323,0.000593,593.440574,,372,95.465422,16.0,female
model_03950,0.000593,592.50616,19300.0,368,95.453458,17.967213,female
model_01370,0.000586,586.320036,2100000.0,141,95.441493,,
model_01135,0.000586,585.920961,,302,95.429529,18.580645,female
model_06396,0.000586,585.626906,3300000.0,450,95.417564,16.983607,female
model_00105,0.000585,585.271139,12000.0,215,95.405599,16.333333,female
model_02650,0.000585,584.852528,,277,95.393635,18.295082,female
model_01536,0.000582,581.982461,656400.0,531,95.38167,16.0,female
model_08319,0.000582,581.629062,,478,95.369706,18.622951,female
model_01226,0.000581,581.3089,,210,95.357741,16.655738,female
model_01229,0.000581,580.742453,21200000.0,265,95.345777,32.25,female
model_03225,0.000581,580.695512,4000.0,208,95.333812,17.639344,female
model_04771,0.000579,579.212093,,306,95.321847,18.580645,female
model_00568,0.000579,578.858122,,67,95.309883,16.672269,female
model_04310,0.000579,578.807542,25700.0,204,95.297918,14.461538,female
model_03228,0.000578,577.680439,13100.0,221,95.285954,18.580645,female
model_09822,0.000578,577.592436,,374,95.273989,16.983607,female
model_09000,0.000573,572.595198,32900.0,202,95.262024,18.903226,female
model_03698,0.000569,569.22007,,446,95.25006,15.661017,female
model_06627,0.000568,568.273629,2900000.0,450,95.238095,17.639344,female
model_03602,0.000568,567.750546,,493,95.226131,14.62069,female
model_10032,0.000567,566.537034,28600.0,399,95.214166,17.0,female
model_05418,0.000566,566.354746,495500.0,377,95.202201,23.692308,female
model_06448,0.000566,565.916293,,146,95.190237,13.894737,female
model_07560,0.000565,564.550574,70300.0,290,95.178272,17.0,female
model_01995,0.000562,562.41706,,303,95.166308,16.333333,female
model_04134,0.000561,560.973521,12900.0,310,95.154343,17.311475,female
model_06820,0.00056,560.477354,,291,95.142379,17.639344,female
model_00478,0.00056,560.069943,6400.0,186,95.130414,18.258065,female
model_05631,0.00056,559.501214,10400.0,434,95.118449,14.965517,female
model_04713,0.000559,558.704407,,347,95.106485,18.580645,female
model_00560,0.000559,558.518206,,280,95.09452,15.482759,female
model_05800,0.000557,557.299849,,349,95.082556,18.580645,female
