node,x,y,node_type,centrality
3.PARADIS,-80.097786,2.617915,brand,0.000568
Qasimi,-79.899536,-1.707362,brand,0.004689
model_00045,-66.914253,32.339573,model,0.002037
amfAR,-84.661964,34.583324,brand,0.007058
Brunello Cucinelli,-73.132439,23.99016,magazine,0.005732
model_00047,28.79772,-14.020788,model,0.000853
Cult Gaia,-37.312401,38.665771,brand,0.001516
Max Zara Sterck,-52.379871,23.950811,magazine,0.000189
model_00048,-82.298508,-4.32346,model,0.003695
Craig Green,-80.68689,-6.481404,brand,0.005305
Labrum London,-50.471111,6.361205,brand,0.001989
Pronounce,-80.109825,-2.676611,brand,0.004074
Stefan Cooke,-71.134659,-4.318089,brand,0.003032
WE11DONE,-80.390839,-14.788926,brand,0.0036
Bianca Saunders,-82.252655,0.991721,brand,0.000616
Edward Crutchley,-68.60556,-0.666317,brand,0.002368
Mark Fast,-44.188522,14.705296,brand,0.008526
Solid Homme,-80.009132,-4.627015,brand,0.002605
Egonlab,-78.514748,-3.966801,brand,0.000995
Onitsuka Tiger,-68.074051,5.204906,brand,0.004405
Private Policy,-70.161133,11.689778,brand,0.004832
